GameID,HomeTeam,AwayTeam,HomeScore,AwayScore,ScoresScrapedAt
21325,Ellsworth High School,Caribou,57.0,58.0,2026-02-08T20:33:30Z
18636,Brewer,Ellsworth High School,54.0,58.0,2026-02-08T20:33:30Z
11143,Belfast Area,Ellsworth High School,48.0,65.0,2026-02-08T20:33:30Z
21331,Ellsworth High School,Brewer,64.0,53.0,2026-02-08T20:33:30Z
11571,Bangor,Ellsworth High School,62.0,66.0,2026-02-08T20:33:30Z
11161,Ellsworth High School,Belfast Area,76.0,33.0,2026-02-08T20:33:30Z
20902,Caribou,Ellsworth High School,57.0,62.0,2026-02-08T20:33:30Z
21343,Ellsworth High School,Caribou,55.0,29.0,2026-02-08T20:33:30Z
18256,Brewer,Ellsworth High School,43.0,44.0,2026-02-08T20:33:30Z
11003,Belfast Area,Ellsworth High School,28.0,60.0,2026-02-08T20:33:30Z
21351,Ellsworth High School,Brewer,52.0,41.0,2026-02-08T20:33:30Z
11589,Ellsworth High School,Bangor,35.0,42.0,2026-02-08T20:33:30Z
11046,Ellsworth High School,Belfast Area,54.0,33.0,2026-02-08T20:33:30Z
20892,Caribou,Ellsworth High School,45.0,56.0,2026-02-08T20:33:30Z
18184,Cony HS,Erskine Academy,98.0,64.0,2026-02-08T20:33:30Z
18229,Erskine Academy,Cony HS,65.0,42.0,2026-02-08T20:33:30Z
18306,Falmouth High School,Bonny Eagle,37.0,53.0,2026-02-08T20:33:30Z
18308,Falmouth High School,Cheverus,46.0,49.0,2026-02-08T20:33:30Z
16023,Falmouth High School,Deering,61.0,58.0,2026-02-08T20:33:30Z
15143,Falmouth High School,Biddeford,56.0,37.0,2026-02-08T20:33:30Z
14190,Bonny Eagle,Falmouth High School,47.0,50.0,2026-02-08T20:33:30Z
14196,Bonny Eagle,Falmouth High School,46.0,25.0,2026-02-08T20:33:30Z
13317,Cheverus,Falmouth High School,76.0,19.0,2026-02-08T20:33:30Z
16040,Deering,Falmouth High School,53.0,29.0,2026-02-08T20:33:30Z
15169,Biddeford,Falmouth High School,48.0,21.0,2026-02-08T20:33:30Z
18328,Falmouth High School,Bonny Eagle,24.0,52.0,2026-02-08T20:33:30Z
13704,Buckfield HS,Forest Hills Consolidated School,73.0,43.0,2026-02-08T20:33:30Z
14563,Forest Hills Consolidated School,Carrabec,51.0,56.0,2026-02-08T20:33:30Z
13739,Buckfield HS,Forest Hills Consolidated School,53.0,36.0,2026-02-08T20:33:30Z
15984,Forest Hills Consolidated School,Carrabec,32.0,49.0,2026-02-08T20:33:30Z
17503,Easton Senior,Fort Fairfield High School,47.0,71.0,2026-02-08T20:33:30Z
17509,Central Aroostook Sr,Fort Fairfield High School,43.0,65.0,2026-02-08T20:33:30Z
17517,Fort Fairfield High School,Easton Senior,60.0,46.0,2026-02-08T20:33:30Z
17531,Fort Fairfield High School,Central Aroostook Sr,55.0,42.0,2026-02-08T20:33:30Z
17535,Easton Senior,Fort Fairfield High School,31.0,35.0,2026-02-08T20:33:30Z
17541,Central Aroostook Sr,Fort Fairfield High School,67.0,32.0,2026-02-08T20:33:30Z
